,cut,clarity,price,color
402,Very Good,SI1,554,H
407,Very Good,SI1,555,F
416,Very Good,VS2,556,F
420,Very Good,VS2,2812,F
421,Very Good,VS2,2812,F
424,Premium,VS2,2812,E
427,Very Good,SI1,2813,E
429,Premium,SI1,2814,E
431,Premium,SI1,2814,E
442,Premium,VS2,2815,E
448,Premium,SI1,2816,F
451,Premium,SI1,2817,E
454,Premium,VS2,2817,E
456,Premium,SI1,2817,E
457,Premium,SI1,2817,E
459,Premium,SI1,2817,E
462,Premium,VS2,2818,E
463,Premium,VS2,2818,E
464,Premium,VS2,2818,E
470,Premium,VS2,2818,F
479,Premium,VS2,2821,E
481,Premium,SI1,2821,E
483,Premium,SI1,2821,E
484,Premium,SI1,2821,E
485,Premium,SI1,2821,D
486,Very Good,SI1,2821,E
488,Premium,VS2,2822,E
489,Premium,VS2,2822,E
490,Premium,VS2,2822,E
491,Premium,VS2,2822,E
495,Premium,SI1,2822,D
496,Premium,SI1,2822,D
497,Premium,SI1,2822,D
501,Premium,VS2,2822,E
502,Premium,VS2,2822,E
507,Premium,VS2,2822,E
508,Premium,VS2,2822,F
512,Premium,VS2,2823,E
516,Premium,VS2,2824,D
522,Premium,SI1,2825,H
524,Premium,SI1,2825,H
531,Very Good,VS2,2826,D
534,Premium,SI1,2826,F
536,Very Good,SI1,2827,D
549,Very Good,VS2,2830,E
550,Very Good,SI1,2830,H
555,Premium,SI1,2830,G
559,Premium,SI1,2831,E
561,Very Good,VS2,2832,F
564,Premium,SI1,2832,G
568,Very Good,VS2,2833,I
570,Very Good,VS2,2833,D
580,Very Good,SI1,2834,J
588,Premium,VS2,2835,F
589,Very Good,SI1,2836,H
594,Very Good,SI1,2838,H
597,Premium,VS2,2838,F
598,Premium,VS2,2838,F
600,Premium,VS2,2838,F
601,Very Good,SI1,2838,E
602,Premium,VS2,2838,F
603,Premium,VS2,2838,F
605,Very Good,SI1,2839,E
618,Premium,VS2,2839,G
623,Premium,VS2,2840,F
627,Premium,VS2,2841,F
629,Very Good,SI1,2841,D
637,Premium,VS2,2841,F
640,Premium,VS2,2842,F
641,Very Good,VS2,2843,E
642,Very Good,VS2,2843,E
643,Very Good,VS2,2843,E
645,Very Good,SI1,2843,D
651,Very Good,SI1,2844,E
656,Very Good,VS2,2845,E
657,Very Good,VS2,2845,E
668,Premium,SI1,2846,E
669,Premium,VS2,2846,G
671,Very Good,SI1,2847,H
673,Premium,SI1,2847,D
679,Very Good,VS2,2850,E
683,Very Good,SI1,2851,F
686,Premium,SI1,2851,H
692,Very Good,SI1,2852,I
693,Premium,VS2,2853,F
697,Premium,SI1,2853,E
702,Premium,VS2,2854,E
709,Very Good,VS2,2855,F
711,Premium,VS2,2855,D
727,Very Good,VS2,556,G
749,Premium,SI1,557,I
751,Premium,SI1,2856,F
752,Premium,SI1,2856,F
756,Premium,VS2,2857,I
757,Premium,SI1,2857,E
759,Very Good,SI1,2858,F
760,Very Good,SI1,2858,F
761,Premium,VS2,2858,E
762,Premium,VS2,2858,E
763,Premium,VS2,2858,E
764,Very Good,VS2,2858,E
765,Premium,SI1,2858,J
768,Premium,VS2,2858,D
773,Premium,VS2,2859,D
776,Premium,VS2,2859,D
779,Very Good,VS2,2860,F
784,Premium,SI1,2861,D
787,Premium,SI1,2861,I
791,Very Good,SI1,2862,D
792,Very Good,SI1,2862,F
794,Premium,SI1,2862,F
797,Very Good,VS2,2862,E
799,Premium,VS2,2862,E
802,Premium,VS2,2862,E
805,Premium,SI1,2863,G
807,Premium,SI1,2863,D
808,Premium,SI1,2863,D
809,Premium,SI1,2863,D
811,Premium,SI1,2863,D
812,Premium,SI1,2863,D
813,Premium,SI1,2863,J
814,Premium,VS2,2863,J
816,Premium,SI1,2863,E
818,Premium,SI1,2863,E
821,Very Good,VS2,2865,I
822,Premium,SI1,2865,D
827,Premium,SI1,2866,I
831,Premium,VS2,2867,H
843,Very Good,SI1,2868,E
858,Very Good,SI1,2871,E
860,Premium,SI1,2871,J
864,Very Good,SI1,2872,D
871,Very Good,SI1,2872,D
872,Very Good,VS2,2872,E
875,Very Good,VS2,2873,F
876,Very Good,SI1,2873,E
881,Premium,SI1,2873,J
885,Premium,SI1,2873,J
886,Premium,VS2,2874,F
887,Premium,VS2,2874,D
901,Premium,VS2,2876,E
907,Very Good,SI1,2878,F
908,Very Good,SI1,2878,F
912,Very Good,SI1,2879,F
922,Very Good,SI1,2880,D
924,Very Good,VS2,2881,E
928,Premium,VS2,2882,F
930,Premium,VS2,2882,F
935,Very Good,SI1,2885,F
936,Premium,SI1,2885,I
942,Very Good,SI1,2887,D
946,Very Good,VS2,2889,E
953,Premium,VS2,2889,F
954,Premium,SI1,2889,E
957,Premium,SI1,2890,F
960,Very Good,VS2,2891,E
975,Very Good,SI1,2893,G
976,Premium,SI1,2893,G
980,Very Good,VS2,2895,G
984,Very Good,VS2,2896,G
985,Very Good,VS2,2896,G
990,Premium,SI1,2896,E
994,Premium,SI1,2897,E
998,Premium,VS2,2897,D
1010,Very Good,SI1,2900,F
1012,Premium,SI1,2901,F
1016,Premium,VS2,2902,E
1020,Premium,VS2,2902,E
1021,Premium,SI1,2903,D
1024,Premium,SI1,2903,D
1025,Premium,VS2,2903,E
1026,Very Good,SI1,2904,F
1033,Very Good,VS2,2905,G
1036,Very Good,SI1,2905,J
1038,Premium,SI1,2905,J
1039,Very Good,VS2,2906,D
1057,Premium,VS2,558,I
1058,Premium,VS2,558,I
1059,Very Good,VS2,558,I
1060,Premium,VS2,558,I
1061,Premium,SI1,558,H
1062,Premium,SI1,558,H
1066,Premium,VS2,558,I
1068,Premium,VS2,558,I
1069,Premium,VS2,558,I
1070,Premium,VS2,558,I
1071,Very Good,VS2,558,I
1072,Premium,VS2,558,I
1073,Premium,SI1,558,H
1074,Premium,SI1,558,H
1076,Premium,SI1,558,H
1077,Premium,SI1,558,H
1080,Very Good,SI1,2908,H
1082,Premium,VS2,2909,D
1083,Premium,VS2,2909,D
1095,Premium,SI1,2912,E
1099,Very Good,VS2,2913,D
1100,Premium,SI1,2913,D
1102,Premium,SI1,2913,D
1103,Very Good,SI1,2913,D
1105,Premium,SI1,2913,D
1107,Premium,SI1,2913,E
1109,Very Good,SI1,2914,F
1111,Very Good,VS2,2915,I
1112,Very Good,SI1,2915,G
1120,Very Good,VS2,2918,F
1121,Very Good,VS2,2918,H
1126,Very Good,SI1,2919,H
1136,Very Good,VS2,2921,E
1137,Very Good,VS2,2921,E
1138,Very Good,SI1,2921,D
1141,Very Good,VS2,2922,E
1142,Very Good,VS2,2922,E
1146,Very Good,VS2,2923,E
1147,Very Good,VS2,2923,E
1148,Very Good,SI1,2923,E
1149,Very Good,SI1,2923,E
1150,Very Good,SI1,2923,E
1156,Premium,VS2,2923,I
1158,Very Good,SI1,2925,D
1165,Premium,SI1,2926,F
1166,Premium,SI1,2926,F
1170,Very Good,VS2,2928,F
1171,Very Good,VS2,2928,D
1172,Very Good,SI1,2929,E
1173,Very Good,VS2,2929,G
1176,Very Good,VS2,2930,E
1186,Very Good,VS2,2931,F
1193,Premium,VS2,2933,F
1198,Premium,SI1,2935,H
1202,Very Good,SI1,2936,H
1206,Premium,SI1,2937,E
1212,Very Good,VS2,2939,F
1215,Premium,SI1,2939,D
1222,Premium,VS2,2939,H
1237,Premium,SI1,2942,D
1244,Very Good,VS2,2945,H
1245,Very Good,SI1,2945,D
1256,Premium,VS2,2947,D
1263,Premium,SI1,2947,I
1271,Very Good,VS2,2949,E
1278,Premium,VS2,2950,D
1284,Very Good,VS2,2952,E
1285,Very Good,VS2,2952,E
1286,Very Good,VS2,2952,E
1295,Very Good,VS2,2953,H
1296,Premium,VS2,2953,F
1298,Very Good,VS2,2954,E
1300,Premium,VS2,2954,E
1301,Premium,SI1,2954,D
1303,Very Good,SI1,2954,D
1306,Very Good,VS2,2956,F
1310,Very Good,SI1,2956,J
1322,Premium,VS2,2959,G
1326,Very Good,VS2,2960,D
1348,Premium,SI1,2962,F
1351,Very Good,VS2,2964,E
1352,Very Good,SI1,2964,E
1353,Very Good,SI1,2964,D
1371,Very Good,VS2,2966,G
1384,Very Good,VS2,559,G
1385,Very Good,VS2,559,G
1386,Very Good,VS2,559,G
1410,Very Good,SI1,2968,E
1411,Premium,SI1,2968,H
1413,Premium,VS2,2968,D
1420,Premium,VS2,2970,E
1424,Very Good,SI1,2972,E
1433,Very Good,SI1,2973,E
1444,Premium,SI1,2975,G
1446,Premium,SI1,2975,E
1452,Premium,VS2,2977,D
1472,Premium,VS2,2982,E
1474,Very Good,VS2,2984,J
1476,Very Good,VS2,2985,D
1485,Premium,SI1,2988,E
1490,Premium,SI1,2990,D
1491,Very Good,VS2,2990,G
1492,Very Good,VS2,2990,E
1496,Very Good,VS2,2992,E
1501,Very Good,SI1,2993,E
1507,Very Good,VS2,2994,F
1509,Very Good,VS2,2994,G
1511,Premium,VS2,2994,G
1525,Very Good,VS2,2999,D
1539,Very Good,SI1,3001,D
1545,Very Good,SI1,3002,E
1547,Premium,VS2,3002,D
1551,Premium,VS2,3002,G
1556,Premium,SI1,3004,F
1563,Very Good,SI1,3005,E
1565,Very Good,SI1,3005,H
1582,Very Good,SI1,3007,F
1590,Very Good,SI1,3009,E
1592,Very Good,SI1,3010,F
1609,Very Good,VS2,3012,G
1614,Very Good,SI1,3013,F
1615,Premium,VS2,3013,F
1620,Premium,SI1,3013,D
1623,Very Good,SI1,3014,D
1630,Very Good,VS2,3016,D
1650,Premium,VS2,3018,F
1653,Premium,SI1,3019,D
1655,Very Good,SI1,3023,F
1660,Premium,VS2,3024,E
1661,Very Good,VS2,3024,J
1663,Premium,VS2,3024,E
1665,Premium,VS2,3024,E
1667,Premium,SI1,3024,E
1669,Premium,SI1,3024,D
1671,Very Good,VS2,3026,G
1687,Very Good,VS2,3033,D
1692,Very Good,VS2,3033,D
1695,Premium,SI1,3033,H
1699,Very Good,VS2,3035,E
1706,Premium,SI1,3036,D
1711,Premium,VS2,561,G
1713,Premium,VS2,561,G
1715,Premium,VS2,561,G
1717,Very Good,VS2,561,G
1725,Premium,VS2,561,G
1731,Very Good,SI1,561,E
1733,Premium,VS2,561,G
1735,Very Good,VS2,561,G
1736,Premium,VS2,561,G
1746,Very Good,SI1,3040,D
1754,Premium,SI1,3043,F
1756,Very Good,SI1,3044,F
1760,Very Good,SI1,3045,F
1761,Very Good,VS2,3045,D
1762,Premium,VS2,3045,D
1765,Very Good,SI1,3046,D
1767,Very Good,SI1,3047,F
1772,Very Good,SI1,3048,F
1773,Very Good,SI1,3048,D
1779,Premium,SI1,3048,D
1780,Premium,SI1,3048,D
1785,Very Good,SI1,3050,E
1792,Very Good,VS2,3052,D
1796,Very Good,VS2,3053,D
1797,Very Good,VS2,3053,E
1803,Very Good,SI1,3053,E
1812,Very Good,SI1,3055,E
1824,Premium,SI1,3058,D
1825,Premium,VS2,3058,J
1834,Very Good,SI1,3061,J
1841,Premium,VS2,3062,E
1842,Premium,VS2,3062,E
1848,Premium,VS2,3064,E
1852,Very Good,VS2,3065,E
1861,Very Good,VS2,3066,E
1866,Very Good,VS2,3070,I
1867,Very Good,SI1,3070,G
1870,Very Good,SI1,3071,G
1874,Very Good,SI1,3073,F
1881,Very Good,VS2,3074,G
1885,Very Good,VS2,3075,D
1886,Very Good,VS2,3075,D
1888,Very Good,SI1,3075,D
1893,Very Good,SI1,3077,E
1894,Very Good,SI1,3077,E
1897,Premium,VS2,3077,D
1899,Premium,VS2,3078,E
1909,Premium,SI1,3080,F
1916,Very Good,SI1,3082,F
1917,Very Good,SI1,3082,H
1923,Premium,VS2,3082,H
1925,Premium,SI1,3082,F
1930,Very Good,VS2,3084,D
1945,Premium,VS2,3084,G
1949,Very Good,SI1,3085,D
1954,Very Good,SI1,3087,H
1960,Premium,VS2,3089,F
1973,Premium,VS2,3091,J
1975,Premium,SI1,3091,E
1977,Very Good,VS2,3092,D
1980,Very Good,SI1,3093,F
1986,Very Good,SI1,3095,G
1988,Premium,SI1,3095,H
1989,Very Good,VS2,3096,D
1990,Very Good,VS2,3096,D
1994,Premium,SI1,3097,F
2004,Premium,VS2,3101,E
2005,Very Good,SI1,3102,D
2012,Premium,SI1,3103,D
2028,Premium,SI1,3105,D
2043,Premium,VS2,561,G
2045,Premium,VS2,561,G
2047,Very Good,SI1,561,E
2049,Very Good,VS2,561,G
2052,Premium,VS2,561,G
2053,Premium,VS2,561,G
2054,Very Good,SI1,561,E
2055,Premium,VS2,561,G
2057,Very Good,SI1,561,E
2060,Very Good,VS2,561,E
2062,Premium,SI1,561,E
2063,Premium,VS2,561,G
2066,Premium,VS2,561,G
2068,Premium,VS2,561,G
2069,Premium,SI1,561,E
2070,Premium,VS2,3107,E
2073,Premium,VS2,3107,E
2076,Premium,VS2,3108,E
2077,Premium,VS2,3108,E
2082,Very Good,VS2,3111,E
2086,Very Good,VS2,3112,J
2087,Premium,SI1,3112,D
2092,Very Good,VS2,3113,G
2100,Very Good,SI1,3115,H
2103,Premium,SI1,3115,F
2111,Very Good,SI1,3118,F
2114,Very Good,VS2,3119,J
2121,Very Good,SI1,3120,I
2124,Premium,SI1,3121,I
2125,Very Good,SI1,3121,I
2126,Premium,SI1,3121,I
2128,Very Good,SI1,3122,E
2138,Very Good,VS2,3124,G
2145,Premium,VS2,3125,J
2154,Premium,VS2,3127,E
2164,Very Good,VS2,3131,D
2165,Very Good,VS2,3131,D
2174,Very Good,VS2,3135,D
2175,Premium,SI1,3135,D
2178,Premium,VS2,3136,G
2190,Very Good,SI1,3137,G
2191,Very Good,SI1,3138,E
2192,Very Good,SI1,3138,D
2193,Very Good,VS2,3139,D
2206,Premium,SI1,3141,J
2221,Very Good,VS2,3145,J
2233,Premium,SI1,3145,D
2234,Very Good,VS2,3146,F
2236,Very Good,VS2,3146,J
2237,Very Good,SI1,3146,E
2254,Premium,VS2,3150,E
2266,Very Good,SI1,3154,J
2283,Very Good,SI1,3160,D
2294,Premium,VS2,3161,D
2296,Premium,VS2,3161,D
2297,Very Good,VS2,3162,E
2310,Premium,SI1,3165,H
2311,Very Good,SI1,3166,D
2329,Very Good,VS2,3170,G
2330,Very Good,SI1,3170,J
2340,Very Good,SI1,3171,G
2353,Very Good,SI1,3173,E
2367,Very Good,SI1,3176,I
2371,Premium,VS2,561,G
2378,Very Good,VS2,561,G
2379,Premium,VS2,561,G
2380,Premium,VS2,561,G
2381,Very Good,VS2,561,G
2383,Very Good,SI1,561,E
2384,Premium,SI1,561,E
2386,Premium,VS2,561,G
2387,Premium,VS2,561,G
2388,Premium,VS2,561,G
2396,Premium,VS2,561,G
2397,Very Good,VS2,561,G
2412,Very Good,VS2,3180,E
2413,Very Good,VS2,3180,J
2414,Very Good,SI1,3180,H
2420,Premium,SI1,3180,H
2427,Very Good,VS2,3182,D
2431,Very Good,SI1,3183,E
2436,Very Good,VS2,3184,E
2444,Premium,SI1,3187,J
2456,Premium,VS2,3190,J
2458,Premium,SI1,3190,G
2459,Premium,SI1,3190,I
2475,Premium,VS2,3192,E
2477,Premium,VS2,3193,G
2481,Premium,VS2,3193,G
2484,Very Good,VS2,3195,G
2489,Very Good,SI1,3195,F
2490,Very Good,SI1,3195,F
2498,Premium,SI1,3198,F
2503,Premium,VS2,3199,E
2520,Very Good,VS2,3203,D
2539,Premium,VS2,3205,D
2540,Premium,VS2,3206,E
2542,Very Good,VS2,3206,E
2547,Very Good,SI1,3207,F
2554,Very Good,VS2,3208,J
2556,Very Good,VS2,3209,I
2568,Very Good,SI1,3211,I
2572,Premium,SI1,3211,E
2578,Premium,SI1,3213,E
2587,Very Good,VS2,3217,E
2588,Premium,VS2,3217,D
2590,Very Good,VS2,3217,D
2595,Premium,VS2,3218,F
2606,Very Good,SI1,3220,I
2607,Very Good,SI1,3220,I
2611,Very Good,VS2,3222,D
2616,Premium,SI1,3224,H
2617,Very Good,SI1,3225,J
2623,Premium,SI1,3226,D
2628,Very Good,SI1,3228,H
2630,Premium,VS2,3228,E
2640,Premium,VS2,3230,E
2642,Premium,SI1,3230,F
2657,Premium,VS2,3234,E
2659,Very Good,VS2,3235,H
2666,Premium,VS2,3237,G
2667,Very Good,VS2,3238,I
2668,Very Good,VS2,3238,F
2669,Very Good,VS2,3238,F
2680,Very Good,SI1,3241,D
2683,Very Good,SI1,3242,H
2685,Very Good,SI1,3243,E
2712,Very Good,VS2,564,G
2731,Premium,VS2,3246,I
2746,Very Good,VS2,3249,H
2759,Premium,VS2,3250,J
2760,Premium,VS2,3250,D
2761,Very Good,SI1,3251,I
2767,Premium,SI1,3251,I
2790,Very Good,VS2,3258,J
2791,Very Good,SI1,3258,D
2795,Very Good,SI1,3260,E
2798,Very Good,SI1,3261,E
2804,Premium,SI1,3262,G
2817,Very Good,VS2,3265,I
2823,Premium,SI1,3266,D
2832,Very Good,SI1,3267,F
2833,Very Good,SI1,3267,F
2838,Premium,SI1,3269,J
2841,Very Good,VS2,3270,E
2843,Premium,SI1,3270,E
2848,Very Good,SI1,3271,I
2856,Very Good,SI1,3274,I
2867,Premium,VS2,3276,I
2869,Very Good,VS2,3276,H
2871,Premium,SI1,3276,I
2874,Premium,SI1,3276,J
2888,Very Good,SI1,3282,E
2891,Premium,VS2,3282,I
2900,Very Good,VS2,3283,F
2911,Premium,VS2,3285,E
2912,Premium,VS2,3285,F
2914,Premium,VS2,3285,F
2923,Premium,SI1,3288,I
2928,Very Good,VS2,3290,J
2935,Premium,VS2,3291,E
2937,Premium,VS2,3291,D
2938,Premium,VS2,3292,I
2939,Premium,VS2,3292,I
2940,Very Good,SI1,3293,G
2942,Very Good,SI1,3293,E
2951,Premium,VS2,3294,D
2954,Very Good,SI1,3295,E
2956,Premium,SI1,3295,E
2957,Premium,VS2,3296,J
2964,Premium,SI1,3297,E
2969,Very Good,VS2,3298,D
2971,Very Good,VS2,3299,J
3016,Very Good,VS2,3307,E
3021,Very Good,SI1,3308,I
3023,Premium,VS2,3308,D
3024,Very Good,SI1,3308,F
3055,Premium,SI1,566,F
3056,Very Good,SI1,566,F
3057,Very Good,SI1,566,F
3058,Very Good,VS2,566,J
3059,Premium,SI1,566,F
3067,Premium,SI1,3311,F
3069,Premium,SI1,3312,D
3071,Premium,SI1,3312,D
3083,Very Good,VS2,3314,J
3104,Very Good,SI1,3322,F
3106,Premium,SI1,3323,E
3108,Very Good,VS2,3323,F
3109,Very Good,VS2,3323,E
3112,Very Good,SI1,3323,I
3129,Premium,SI1,3326,G
3155,Very Good,VS2,3334,I
3156,Very Good,VS2,3334,I
3157,Very Good,VS2,3334,E
3168,Premium,SI1,3337,I
3173,Very Good,VS2,3338,I
3174,Premium,VS2,3338,I
3179,Very Good,VS2,3340,I
3195,Very Good,VS2,3344,E
3199,Very Good,SI1,3345,I
3210,Premium,SI1,3347,D
3222,Very Good,VS2,3351,D
3232,Premium,VS2,3353,D
3246,Premium,SI1,3355,G
3248,Premium,SI1,3356,E
3274,Premium,SI1,3360,I
3275,Premium,SI1,3360,F
3276,Very Good,SI1,3360,I
3291,Very Good,VS2,3365,E
3293,Very Good,SI1,3365,E
3296,Very Good,VS2,3366,D
3302,Premium,VS2,3369,F
3304,Very Good,VS2,3369,F
3316,Premium,SI1,3372,F
3320,Very Good,SI1,3373,E
3331,Premium,VS2,3376,I
3340,Premium,SI1,3377,H
3341,Premium,SI1,3377,I
3347,Very Good,SI1,3378,I
3360,Very Good,SI1,405,I
3362,Very Good,VS2,406,I
3363,Very Good,VS2,407,I
3364,Very Good,VS2,407,I
3365,Very Good,VS2,407,G
3366,Very Good,VS2,407,G
3368,Very Good,SI1,407,E
3379,Premium,SI1,408,I
3382,Very Good,SI1,408,I
3387,Premium,SI1,408,I
3389,Very Good,SI1,408,I
3390,Very Good,SI1,566,F
3393,Very Good,VS2,567,H
3401,Premium,VS2,567,F
3402,Premium,VS2,567,D
3416,Very Good,VS2,568,D
3418,Very Good,VS2,568,H
3419,Premium,VS2,568,H
3421,Very Good,VS2,3382,I
3430,Very Good,SI1,3385,E
3431,Premium,VS2,3385,I
3436,Premium,SI1,3387,H
3437,Premium,SI1,3387,H
3438,Premium,SI1,3387,H
3439,Very Good,SI1,3387,H
3440,Premium,SI1,3387,H
3444,Very Good,SI1,3387,H
3445,Premium,SI1,3387,H
3449,Very Good,SI1,3388,H
3450,Very Good,SI1,3388,H
3465,Premium,SI1,3392,G
3471,Premium,VS2,3393,F
3484,Premium,VS2,3398,I
3486,Premium,VS2,3398,I
3487,Very Good,VS2,3398,I
3497,Premium,SI1,3400,F
3499,Premium,VS2,3400,G
3525,Very Good,SI1,3407,I
3526,Very Good,SI1,3407,I
3527,Premium,SI1,3407,G
3530,Premium,SI1,3407,G
3533,Premium,VS2,3408,F
3538,Very Good,VS2,3411,D
3547,Premium,SI1,3414,H
3553,Premium,SI1,3416,J
3560,Premium,SI1,3417,H
3566,Very Good,VS2,3419,D
3615,Very Good,VS2,3428,D
3616,Premium,VS2,3428,D
3617,Premium,VS2,3428,D
3619,Very Good,VS2,3429,F
3620,Premium,VS2,3429,F
3626,Premium,VS2,3431,I
3627,Premium,VS2,3431,I
3636,Very Good,SI1,3432,D
3643,Very Good,SI1,3437,H
3644,Very Good,SI1,3437,H
3645,Premium,SI1,3437,F
3648,Premium,SI1,3437,H
3656,Premium,SI1,3441,D
3670,Premium,SI1,3444,J
3672,Very Good,VS2,3445,I
3678,Very Good,SI1,3445,G
3685,Very Good,SI1,3447,H
3689,Very Good,SI1,3447,H
3690,Very Good,SI1,3447,H
3691,Very Good,SI1,3447,H
3694,Premium,VS2,3447,E
3714,Very Good,SI1,3453,E
3729,Very Good,VS2,568,H
3741,Premium,VS2,570,E
3787,Very Good,SI1,3462,D
3801,Very Good,SI1,3465,J
3818,Premium,SI1,3468,I
3823,Very Good,VS2,3471,F
3832,Very Good,VS2,3472,H
3842,Very Good,VS2,3473,I
3843,Premium,VS2,3473,D
3844,Premium,SI1,3475,H
3847,Very Good,VS2,3476,D
3851,Very Good,VS2,3478,J
3866,Premium,VS2,3478,I
3874,Premium,SI1,3482,E
3878,Very Good,SI1,3483,J
3892,Very Good,VS2,3489,I
3893,Very Good,VS2,3489,I
3894,Very Good,VS2,3489,D
3906,Very Good,VS2,3493,D
3909,Premium,VS2,3494,E
3912,Premium,VS2,3494,E
3917,Premium,VS2,3495,F
3918,Premium,SI1,3496,J
3922,Very Good,SI1,3497,E
3927,Very Good,VS2,3498,D
3932,Very Good,SI1,3499,J
3935,Very Good,SI1,3500,H
3942,Very Good,SI1,3502,D
3947,Premium,VS2,3502,F
3959,Premium,SI1,3506,E
3968,Premium,SI1,3508,E
3969,Very Good,SI1,3508,E
3975,Very Good,SI1,3510,E
3979,Premium,SI1,3511,H
3985,Very Good,SI1,3512,G
3986,Premium,VS2,3513,J
3997,Very Good,VS2,3517,E
4004,Very Good,VS2,3519,I
4013,Very Good,SI1,3519,F
4027,Premium,SI1,3524,J
4033,Premium,SI1,3528,F
4035,Very Good,VS2,3528,G
4038,Premium,SI1,3528,J
4042,Premium,VS2,3528,E
4045,Premium,SI1,3529,I
4050,Very Good,SI1,571,E
4062,Premium,SI1,571,D
4065,Premium,SI1,571,D
4069,Very Good,SI1,571,D
4075,Very Good,SI1,571,D
4091,Very Good,VS2,3534,D
4095,Very Good,VS2,3535,I
4096,Very Good,VS2,3535,G
4097,Very Good,VS2,3535,G
4100,Premium,VS2,3535,J
4116,Premium,SI1,3539,G
4117,Very Good,VS2,3539,E
4118,Premium,VS2,3539,I
4136,Very Good,SI1,3544,I
4142,Premium,SI1,3545,H
4145,Premium,SI1,3545,I
4160,Very Good,VS2,3550,E
4172,Premium,SI1,3555,H
4178,Premium,SI1,3556,D
4180,Premium,SI1,3556,D
4182,Premium,VS2,3557,F
4195,Very Good,VS2,3563,I
4197,Very Good,SI1,3563,I
4214,Very Good,VS2,3567,H
